    z           x_e           tau
 5.99  9.318182E-01  3.847904E-02
 6.00  9.318182E-01  3.856736E-02
 6.01  9.318182E-01  3.865575E-02
 6.02  9.318182E-01  3.874420E-02
 6.03  9.318182E-01  3.883271E-02
 6.04  9.318182E-01  3.892129E-02
 6.05  9.318182E-01  3.900993E-02
 6.06  9.318182E-01  3.909864E-02
 6.07  9.318182E-01  3.918740E-02
 6.08  9.318182E-01  3.927624E-02
 6.09  9.318182E-01  3.936513E-02
 6.10  9.318182E-01  3.945410E-02
 6.11  9.318182E-01  3.954312E-02
 6.12  9.318182E-01  3.963221E-02
 6.13  9.318182E-01  3.972136E-02
 6.14  9.318182E-01  3.981057E-02
 6.15  9.318182E-01  3.989985E-02
 6.16  9.318182E-01  3.998919E-02
 6.17  9.318182E-01  4.007860E-02
 6.18  9.318182E-01  4.016807E-02
 6.19  9.318182E-01  4.025760E-02
 6.20  9.318182E-01  4.034720E-02
 6.21  9.318182E-01  4.043685E-02
 6.22  9.318182E-01  4.052658E-02
 6.23  9.318182E-01  4.061636E-02
 6.24  9.318182E-01  4.070621E-02
 6.25  9.318182E-01  4.079612E-02
 6.26  9.318182E-01  4.088609E-02
 6.27  9.318182E-01  4.097613E-02
 6.28  9.318182E-01  4.106623E-02
 6.29  9.318182E-01  4.115639E-02
 6.30  9.318182E-01  4.124662E-02
 6.31  9.318182E-01  4.133691E-02
 6.32  9.318182E-01  4.142726E-02
 6.33  9.318182E-01  4.151767E-02
 6.34  9.318182E-01  4.160815E-02
 6.35  9.318182E-01  4.169868E-02
 6.36  9.318182E-01  4.178928E-02
 6.37  9.318182E-01  4.187995E-02
 6.38  9.318182E-01  4.197067E-02
 6.39  9.318182E-01  4.206146E-02
 6.40  9.318182E-01  4.215231E-02
 6.41  9.318182E-01  4.224322E-02
 6.42  9.318182E-01  4.233420E-02
 6.43  9.318182E-01  4.242524E-02
 6.44  9.318182E-01  4.251634E-02
 6.45  9.318182E-01  4.260750E-02
 6.46  9.318182E-01  4.269872E-02
 6.47  9.318182E-01  4.279000E-02
 6.48  9.318182E-01  4.288135E-02
 6.49  9.318182E-01  4.297276E-02
 6.50  9.318182E-01  4.306423E-02
 6.51  9.318182E-01  4.315576E-02
 6.52  9.318182E-01  4.324736E-02
 6.53  9.318182E-01  4.333902E-02
 6.54  9.318182E-01  4.343073E-02
 6.55  9.318182E-01  4.352251E-02
 6.56  9.318182E-01  4.361435E-02
 6.57  9.318182E-01  4.370626E-02
 6.58  9.318182E-01  4.379822E-02
 6.59  9.318182E-01  4.389025E-02
 6.60  9.318182E-01  4.398233E-02
 6.61  9.318182E-01  4.407448E-02
 6.62  9.318182E-01  4.416669E-02
